Runs 	Weibull Discovery Time 	Discovery Time 	Fraction Discovery 	Information Time 	Fraction Information
   1 	               68244.0 	       34746.0 	            0.471  	          8727.0 	                 1.0
   2 	               67217.0 	       31444.0 	            0.3777 	          9263.0 	                 1.0
   3 	               68219.0 	       35564.0 	            0.4865 	          9557.0 	                 1.0
   4 	               69399.0 	       33868.0 	            0.4945 	          8910.0 	                 1.0
   5 	               68310.0 	       33954.0 	            0.456  	          8565.0 	                 1.0
   6 	               68296.0 	       34403.0 	            0.4783 	          9054.0 	                 1.0
   7 	               66914.0 	       30189.0 	            0.3455 	          9536.0 	                 1.0
   8 	               69808.0 	       34491.0 	            0.507  	          9078.0 	                 1.0
   9 	               68312.0 	       33523.0 	            0.4428 	          8792.0 	                 1.0
  10 	               69654.0 	       35039.0 	            0.5182 	          8825.0 	                 1.0
