Runs 	Weibull Discovery Time 	Discovery Time 	Fraction Discovery 	Information Time 	Fraction Information
   1 	               65344.0 	       35487.0 	            0.7495 	          8335.0 	              1.0
   2 	               70247.0 	       35677.0 	            0.7128 	          8687.0 	              1.0
   3 	               75336.0 	       37006.0 	            0.6945 	          8658.0 	              1.0
   4 	               68168.0 	       34679.0 	            0.4785 	         10367.0 	              1.0
   5 	               67382.0 	       10435.0 	            0.2003 	         18271.0 	              0.8773
   6 	               79819.0 	       33382.0 	            0.6888 	          7563.0 	              1.0
   7 	               67660.0 	       34713.0 	            0.5048 	          9680.0 	              1.0
   8 	               72137.0 	       37041.0 	            0.609  	          8403.0 	              1.0
   9 	               74120.0 	       37325.0 	            0.682  	          8945.0 	              1.0
  10 	               61248.0 	       32762.0 	            0.7705 	          7317.0 	              1.0
