Runs	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
1	70147.0	39239.0	0.636	9999.0	1.0
2	77474.0	33516.0	0.6505	8207.0	1.0
3	73409.0	36836.0	0.654	8504.0	1.0
4	66421.0	39192.0	0.3752	14823.0	1.0
5	66873.0	35961.0	0.29	15751.0	1.0
6	75786.0	35639.0	0.7063	8164.0	1.0
7	74264.0	36052.0	0.72	7796.0	1.0
8	69466.0	36322.0	0.564	10062.0	1.0
9	67532.0	17816.0	0.1255	25787.0	0.8747
10	70417.0	37678.0	0.6247	9090.0	1.0
