Runs 	Weibull Discovery Time 	Discovery Time 	Fraction Discovery 	Information Time 	Fraction Information
   1 	                5183.0 	        5637.0 	             0.995 	           745.0 	                 1.0
   2 	                5868.0 	        6614.0 	             0.998 	           741.0 	                 1.0
   3 	                5651.0 	        6572.0 	             0.991 	           716.0 	                 1.0
   4 	                5408.0 	        5773.0 	             0.999 	           686.0 	                 1.0
   5 	                5702.0 	        6248.0 	             0.998 	           634.0 	                 1.0
   6 	                5425.0 	        6002.0 	             0.988 	           704.0 	                 1.0
   7 	                6481.0 	        7308.0 	             0.991 	           733.0 	                 1.0
   8 	                5632.0 	        6478.0 	             0.996 	           768.0 	                 1.0
   9 	                5113.0 	        5471.0 	             0.993 	           677.0 	                 1.0
  10 	                5354.0 	        6027.0 	             0.993 	           613.0 	                 1.0
