Runs 	Weibull Discovery Time 	Discovery Time 	Fraction Discovery 	Information Time 	Fraction Information
   1 	               67530.0 	       37179.0 	            0.1066 	         27794.0 	              0.9821
   2 	               67606.0 	       38639.0 	            0.1056 	         26731.0 	              0.9745
   3 	               67940.0 	       38068.0 	            0.1006 	         25211.0 	              0.9524
   4 	               67637.0 	       37485.0 	            0.1009 	         28663.0 	              0.9879
   5 	               67697.0 	       38062.0 	            0.1103 	         26484.0 	              0.9804
   6 	               67745.0 	       35595.0 	            0.1002 	         26452.0 	              0.9852
   7 	               67353.0 	       39268.0 	            0.1036 	         28496.0 	              0.9749
   8 	               67285.0 	       34996.0 	            0.0956 	         24480.0 	              0.9544
   9 	               67328.0 	       36639.0 	            0.098  	         24848.0 	              0.9679
  10 	               68006.0 	       35775.0 	            0.0994 	         25777.0 	              0.9599
