Runs 	Weibull Discovery Time 	Discovery Time 	Fraction Discovery 	Information Time 	Fraction Information
   1 	                9079.0 	        8300.0 	             0.956 	          1895.0 	                 1.0
   2 	                9334.0 	        8756.0 	             0.944 	          1956.0 	                 1.0
   3 	                9840.0 	        8585.0 	             0.948 	          1733.0 	                 1.0
   4 	                6223.0 	        7233.0 	             0.974 	          1495.0 	                 1.0
   5 	                6728.0 	        7732.0 	             0.982 	          1486.0 	                 1.0
   6 	                8936.0 	        8732.0 	             0.972 	          1814.0 	                 1.0
   7 	                8180.0 	        8142.0 	             0.962 	          1808.0 	                 1.0
   8 	                8351.0 	        7721.0 	             0.964 	          1577.0 	                 1.0
   9 	                7473.0 	        7913.0 	             0.97  	          1769.0 	                 1.0
  10 	                9083.0 	        8581.0 	             0.97  	          1783.0 	                 1.0
