Runs 	Weibull Discovery Time 	Discovery Time 	Fraction Discovery 	Information Time 	Fraction Information
   1 	               67154.0 	       33146.0 	            0.2315 	         26801.0 	              0.9938
   2 	               66529.0 	       31609.0 	            0.1675 	         27464.0 	              0.969
   3 	               66863.0 	       40595.0 	            0.2935 	         19908.0 	              1.0
   4 	               67117.0 	       45753.0 	            0.3513 	         25114.0 	              1.0
   5 	               66829.0 	       39326.0 	            0.287  	         20763.0 	              1.0
   6 	               66775.0 	       36688.0 	            0.2325 	         25395.0 	              0.993
   7 	               66568.0 	       39563.0 	            0.318  	         21411.0 	              1.0
   8 	               67609.0 	       21560.0 	            0.117  	         29830.0 	              0.8437
   9 	               66592.0 	       43931.0 	            0.3223 	         20443.0 	              1.0
  10 	               67254.0 	       35282.0 	            0.21   	         27929.0 	              0.9827
