Runs 	Weibull Discovery Time 	Discovery Time 	Fraction Discovery 	Information Time 	Fraction Information
   1 	               67817.0 	       33921.0 	            0.0863 	         26199.0 	              0.9402
   2 	               67617.0 	       33173.0 	            0.0862 	         28476.0 	              0.9821
   3 	               67745.0 	       38893.0 	            0.1256 	         26910.0 	              0.9966
   4 	               68280.0 	       34905.0 	            0.1098 	         27176.0 	              0.9969
   5 	               67509.0 	       37390.0 	            0.1699 	         22297.0 	              1.0
   6 	               67425.0 	       37843.0 	            0.1584 	         22466.0 	              1.0
   7 	               67363.0 	       37823.0 	            0.1593 	         24281.0 	              1.0
   8 	               67765.0 	       38044.0 	            0.1198 	         24779.0 	              0.9852
   9 	               67530.0 	       35708.0 	            0.1316 	         25087.0 	              0.9956
  10 	               67469.0 	       35203.0 	            0.1414 	         24038.0 	              0.999
