Runs 	Weibull Discovery Time 	Discovery Time 	Fraction Discovery 	Information Time 	Fraction Information
   1 	               68342.0 	       18337.0 	            0.0735 	         27606.0 	              0.9126
   2 	               68539.0 	       12321.0 	            0.0673 	         25056.0 	              0.729
   3 	               66694.0 	       42334.0 	            0.2552 	         17626.0 	              1.0
   4 	               66825.0 	       38489.0 	            0.2594 	         16320.0 	              1.0
   5 	               66497.0 	       31896.0 	            0.2066 	         16669.0 	              1.0
   6 	               67421.0 	       15429.0 	            0.0626 	         29107.0 	              0.8736
   7 	               67139.0 	       41236.0 	            0.2094 	         23569.0 	              1.0
   8 	               66914.0 	       40981.0 	            0.2389 	         18611.0 	              1.0
   9 	               66797.0 	       39302.0 	            0.258  	         17154.0 	              1.0
  10 	               66900.0 	       41190.0 	            0.2768 	         18344.0 	              1.0
