Runs	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
1	6740.0	7629.0	0.99	1650.0	1.0
2	6807.0	7893.0	0.98	1662.0	1.0
3	6757.0	7084.0	0.986	1582.0	1.0
4	5884.0	6921.0	0.996	1453.0	1.0
5	6375.0	7554.0	0.98	1564.0	1.0
6	6252.0	6473.0	0.996	1547.0	1.0
7	8529.0	8493.0	0.976	1588.0	1.0
8	6004.0	8874.0	0.972	1557.0	0.992
9	6062.0	6395.0	0.992	1520.0	1.0
10	5798.0	7076.0	0.99	1583.0	1.0
