Id	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
39	27384.0	22198.0	0.925	3358.0	1.0
3	21468.0	18061.0	0.9563	2802.0	1.0
4	19122.0	15192.0	0.9313	2922.0	1.0
9	19349.0	17358.0	0.9625	2734.0	1.0
20	22019.0	18243.0	0.9375	3130.0	1.0
6	25525.0	17445.0	0.9	2885.0	1.0
18	17757.0	14538.0	0.95	2316.0	1.0
34	26495.0	20420.0	0.9125	4096.0	1.0
30	24467.0	18906.0	0.9188	3137.0	1.0
28	28030.0	21218.0	0.9312	2951.0	1.0
6	27368.0	21693.0	0.925	4194.0	1.0
20	18450.0	15531.0	0.9437	2684.0	1.0
24	24603.0	20499.0	0.9625	2640.0	1.0
28	27573.0	21948.0	0.9313	3365.0	1.0
14	20820.0	18238.0	0.975	2812.0	1.0
24	25030.0	19137.0	0.95	2881.0	1.0
36	21442.0	18382.0	0.9625	2672.0	1.0
19	20542.0	16276.0	0.9375	2630.0	1.0
3	26604.0	21502.0	0.9375	3267.0	1.0
25	21390.0	16776.0	0.9375	2351.0	1.0
7	26335.0	19306.0	0.925	2897.0	1.0
26	20755.0	14733.0	0.8938	2142.0	1.0
9	23158.0	18311.0	0.9375	4227.0	1.0
20	23343.0	16963.0	0.9187	3080.0	1.0
2	24852.0	18562.0	0.9375	3128.0	1.0
29	25380.0	18576.0	0.9313	2024.0	1.0
10	23982.0	19844.0	0.9625	2402.0	1.0
6	26886.0	18710.0	0.9187	3029.0	1.0
37	24692.0	19786.0	0.95	2740.0	1.0
14	22332.0	18796.0	0.925	3468.0	1.0
16	23730.0	18170.0	0.9313	3291.0	1.0
21	26653.0	21229.0	0.9375	3063.0	1.0
22	19485.0	18462.0	0.9625	3282.0	1.0
38	20534.0	17376.0	0.9313	2587.0	1.0
9	20738.0	18148.0	0.9563	3301.0	1.0
31	23384.0	16618.0	0.9125	2884.0	1.0
16	16919.0	17106.0	0.9625	2482.0	1.0
38	20829.0	16621.0	0.9188	2581.0	1.0
36	21350.0	17996.0	0.95	2964.0	1.0
3	25385.0	18253.0	0.8875	3996.0	1.0
8	22510.0	18304.0	0.9437	2458.0	1.0
35	23567.0	17405.0	0.925	2318.0	1.0
19	29463.0	20419.0	0.9125	2916.0	1.0
34	24828.0	19915.0	0.925	3465.0	1.0
25	22643.0	19970.0	0.9438	2849.0	1.0
5	18144.0	17128.0	0.9688	2830.0	1.0
16	20259.0	18351.0	0.9563	2703.0	1.0
5	25120.0	18666.0	0.9125	2935.0	1.0
11	26647.0	18946.0	0.9	3486.0	1.0
34	24600.0	19897.0	0.9437	2732.0	1.0
4	20609.0	16284.0	0.9125	2877.0	1.0
0	22438.0	18720.0	0.9375	3057.0	1.0
37	19623.0	17147.0	0.95	3110.0	1.0
21	30627.0	21229.0	0.9	4003.0	1.0
20	18848.0	17194.0	0.9625	2548.0	1.0
3	19524.0	17117.0	0.9437	2564.0	1.0
33	23194.0	20800.0	0.95	2979.0	1.0
35	24561.0	20919.0	0.9563	2951.0	1.0
9	23487.0	20642.0	0.95	2998.0	1.0
29	25015.0	21498.0	0.9625	3720.0	1.0
8	18817.0	15569.0	0.9563	2224.0	1.0
27	21145.0	18775.0	0.9625	2862.0	1.0
31	23577.0	19410.0	0.9375	3206.0	1.0
30	23230.0	19079.0	0.95	2817.0	1.0
35	17900.0	16767.0	0.9813	3139.0	1.0
27	22947.0	19099.0	0.9438	3735.0	1.0
18	24453.0	17282.0	0.8875	3202.0	1.0
4	21503.0	17835.0	0.9313	2505.0	1.0
5	21195.0	19209.0	0.9563	2740.0	1.0
7	21850.0	19041.0	0.975	3566.0	1.0
9	22855.0	18952.0	0.9375	2850.0	1.0
23	21281.0	16095.0	0.925	2602.0	1.0
7	23477.0	18398.0	0.925	3090.0	1.0
33	21672.0	16751.0	0.9437	2616.0	1.0
5	23462.0	18242.0	0.9187	3118.0	1.0
21	19528.0	17474.0	0.9437	3587.0	1.0
24	20883.0	18827.0	0.9625	3206.0	1.0
38	20374.0	18438.0	0.9625	3194.0	1.0
28	25835.0	18336.0	0.9	2420.0	1.0
3	21255.0	17409.0	0.9188	3364.0	1.0
10	20963.0	17762.0	0.9125	3287.0	1.0
23	24392.0	19276.0	0.9188	3109.0	1.0
12	16497.0	15940.0	0.9875	3000.0	1.0
36	17001.0	16134.0	0.9688	2420.0	1.0
16	23523.0	21177.0	0.9688	3341.0	1.0
29	27804.0	18349.0	0.8937	2648.0	1.0
19	18078.0	15257.0	0.9438	2696.0	1.0
36	17569.0	15102.0	0.9563	2644.0	1.0
6	27834.0	21722.0	0.925	2525.0	1.0
36	22428.0	16646.0	0.9	2465.0	1.0
5	20244.0	17809.0	0.9625	3242.0	1.0
28	21930.0	20082.0	0.9688	4151.0	1.0
7	18921.0	17175.0	0.975	2574.0	1.0
10	21769.0	18465.0	0.925	4082.0	1.0
15	19740.0	17210.0	0.95	2184.0	1.0
18	22342.0	16026.0	0.9125	2368.0	1.0
5	17914.0	16068.0	0.9813	2436.0	1.0
27	18590.0	17824.0	0.9813	2576.0	1.0
20	20478.0	16986.0	0.95	2918.0	1.0
36	28033.0	20576.0	0.9313	2645.0	1.0
16	22576.0	19512.0	0.9625	3299.0	1.0
4	27016.0	19806.0	0.9	3842.0	1.0
23	21348.0	19986.0	0.9813	2677.0	1.0
33	21699.0	17772.0	0.925	2868.0	1.0
29	24095.0	18762.0	0.9188	3099.0	1.0
9	21578.0	18986.0	0.95	3887.0	1.0
35	17276.0	15088.0	0.9375	1972.0	1.0
32	23815.0	18673.0	0.9312	3812.0	1.0
9	25136.0	19944.0	0.9313	3763.0	1.0
20	19930.0	16861.0	0.95	2757.0	1.0
23	25528.0	20283.0	0.9437	2704.0	1.0
11	17461.0	15170.0	0.95	3140.0	1.0
39	17139.0	15441.0	0.975	2221.0	1.0
10	26070.0	21012.0	0.9188	4031.0	1.0
8	21357.0	17836.0	0.95	2275.0	1.0
18	19512.0	16369.0	0.95	2642.0	1.0
35	23020.0	18474.0	0.95	2545.0	1.0
17	22007.0	16654.0	0.9375	2517.0	1.0
3	18273.0	16106.0	0.9625	2755.0	1.0
32	26141.0	18785.0	0.9062	3353.0	1.0
22	22328.0	18521.0	0.95	2843.0	1.0
0	23200.0	19272.0	0.9688	3141.0	1.0
15	16919.0	13495.0	0.9437	2122.0	1.0
7	27276.0	19200.0	0.8875	3744.0	1.0
30	24557.0	17236.0	0.9125	2656.0	1.0
18	25069.0	18267.0	0.9125	3243.0	1.0
33	19822.0	18168.0	0.975	2467.0	1.0
17	22391.0	19668.0	0.9437	2846.0	1.0
12	25377.0	22120.0	0.9563	3584.0	1.0
38	24746.0	19021.0	0.9188	3193.0	1.0
18	23107.0	18783.0	0.9563	2934.0	1.0
36	25954.0	20158.0	0.9438	2800.0	1.0
10	23976.0	22317.0	0.95	4235.0	1.0
28	28752.0	22722.0	0.9187	4837.0	1.0
36	18645.0	16964.0	0.95	2715.0	1.0
5	24953.0	20930.0	0.9438	3032.0	1.0
9	23250.0	17159.0	0.9125	2606.0	1.0
4	34143.0	26323.0	0.9313	4103.0	1.0
3	19345.0	15183.0	0.9313	2864.0	1.0
30	24142.0	18026.0	0.9	3726.0	1.0
12	20046.0	16387.0	0.9563	2355.0	1.0
38	18815.0	17719.0	0.9625	2821.0	1.0
39	21682.0	19457.0	0.9313	3108.0	1.0
14	24338.0	19271.0	0.9375	3279.0	1.0
8	22846.0	20019.0	0.95	3546.0	1.0
26	29928.0	21835.0	0.8938	3563.0	1.0
12	18676.0	15442.0	0.9437	1991.0	1.0
37	16860.0	15221.0	0.9563	2252.0	1.0
27	21981.0	17487.0	0.925	3171.0	1.0
19	24845.0	20142.0	0.9438	3333.0	1.0
9	29321.0	22630.0	0.9125	3535.0	1.0
10	18603.0	17338.0	0.9437	2616.0	1.0
20	19863.0	17876.0	0.9625	2546.0	1.0
8	22298.0	18489.0	0.9375	3434.0	1.0
23	20177.0	16781.0	0.95	2152.0	1.0
32	21539.0	16688.0	0.9438	2884.0	1.0
37	23049.0	19032.0	0.9375	3829.0	1.0
2	18922.0	17996.0	0.9812	2398.0	1.0
15	17036.0	17062.0	0.9688	2764.0	1.0
19	26014.0	19297.0	0.8937	3499.0	1.0
39	22377.0	18533.0	0.95	2295.0	1.0
38	19099.0	17848.0	0.9812	3247.0	1.0
14	22622.0	17286.0	0.9125	3309.0	1.0
39	19905.0	14676.0	0.925	2426.0	1.0
7	23329.0	20705.0	0.975	2378.0	1.0
8	19944.0	17353.0	0.9375	2970.0	1.0
36	24458.0	19919.0	0.9375	3640.0	1.0
17	26136.0	18021.0	0.9062	3525.0	1.0
28	26458.0	20959.0	0.9375	3465.0	1.0
5	20291.0	18630.0	0.9813	2840.0	1.0
14	19388.0	16390.0	0.95	3024.0	1.0
14	24273.0	19560.0	0.9313	3065.0	1.0
36	20531.0	18704.0	0.9438	3921.0	1.0
24	22130.0	19311.0	0.9812	2297.0	1.0
12	21730.0	15670.0	0.9125	2574.0	1.0
0	26994.0	20209.0	0.9313	2684.0	1.0
27	25164.0	20181.0	0.9313	3339.0	1.0
25	23683.0	18763.0	0.9187	3066.0	1.0
38	25526.0	20390.0	0.9375	2665.0	1.0
4	20590.0	17330.0	0.9563	2278.0	1.0
18	20592.0	15751.0	0.9188	2361.0	1.0
16	20533.0	18780.0	0.9375	3568.0	1.0
21	20419.0	17324.0	0.9375	3316.0	1.0
31	20808.0	17788.0	0.9375	3109.0	1.0
11	21827.0	15303.0	0.9	2755.0	1.0
31	24160.0	19874.0	0.9375	3801.0	1.0
6	26002.0	18124.0	0.8875	2914.0	1.0
13	23279.0	21456.0	0.9813	5132.0	1.0
37	20693.0	16817.0	0.9438	2763.0	1.0
36	19141.0	16444.0	0.95	2435.0	1.0
14	23335.0	20502.0	0.9438	3168.0	1.0
33	19286.0	18138.0	0.9438	3739.0	1.0
4	17855.0	16290.0	0.975	2539.0	1.0
22	22022.0	16352.0	0.9125	2544.0	1.0
7	26909.0	19144.0	0.9	3265.0	1.0
18	16988.0	14388.0	0.9375	2324.0	1.0
0	18776.0	15177.0	0.9375	2174.0	1.0
23	21457.0	17193.0	0.925	2993.0	1.0
0	17329.0	14889.0	0.925	2518.0	1.0
24	20256.0	18491.0	0.9688	2434.0	1.0
5	25491.0	20149.0	0.9375	4610.0	1.0
35	23272.0	21134.0	0.9188	4196.0	1.0
35	19927.0	16268.0	0.9563	2319.0	1.0
4	17694.0	16796.0	0.9625	2681.0	1.0
13	23713.0	17377.0	0.9375	2224.0	1.0
7	24946.0	19522.0	0.9313	3328.0	1.0
