Id	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
2	24293.0	22060.0	0.9875	3964.0	1.0
3	34774.0	25041.0	0.935	3184.0	1.0
4	38275.0	27173.0	0.9263	4201.0	1.0
5	27050.0	22366.0	0.9713	3361.0	1.0
6	49521.0	12434.0	0.7206	3774.0	1.0
0	20478.0	19031.0	0.9756	4221.0	1.0
1	21550.0	19989.0	0.985	3411.0	1.0
2	24035.0	21375.0	0.9875	3818.0	1.0
3	36667.0	25838.0	0.9281	3371.0	1.0
4	36669.0	26911.0	0.9369	4248.0	1.0
5	28549.0	22915.0	0.9656	3343.0	1.0
6	52265.0	12840.0	0.7162	3652.0	1.0
0	20132.0	18229.0	0.9681	4027.0	1.0
1	20564.0	19086.0	0.9881	3435.0	1.0
2	24865.0	22176.0	0.9869	3927.0	1.0
3	37154.0	25982.0	0.9244	3316.0	1.0
4	37540.0	27865.0	0.9388	4547.0	1.0
5	29665.0	23861.0	0.9625	3606.0	1.0
6	58764.0	12590.0	0.7006	4043.0	1.0
