Runs 	Weibull Discovery Time 	Discovery Time 	Fraction Discovery 	Information Time 	Fraction Information
1    	42720.0                	22024.0        	0.8547             	1918.0           	1.0
2    	47557.0                	23534.0        	0.8483             	2006.0           	1.0
3    	48889.0                	22981.0        	0.832              	1926.0           	1.0
4    	43195.0                	22310.0        	0.8553             	2034.0           	1.0
5    	44883.0                	21625.0        	0.8453             	1901.0           	1.0
6    	47866.0                	23527.0        	0.8453             	1894.0           	1.0
7    	48193.0                	22526.0        	0.8317             	2056.0           	1.0
8    	46541.0                	22654.0        	0.843              	1936.0           	1.0
9    	44128.0                	21548.0        	0.848              	1940.0           	1.0
10   	43294.0                	22242.0        	0.851              	2001.0           	1.0
