Runs	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
1	38046.0	21830.0	0.8745	2771.0	1.0
2	42716.0	22057.0	0.848	2928.0	1.0
3	48515.0	22794.0	0.8275	3150.0	1.0
4	43333.0	21754.0	0.837	3159.0	1.0
5	42922.0	22557.0	0.853	2855.0	1.0
6	34060.0	21749.0	0.903	2884.0	1.0
7	34154.0	21403.0	0.899	2717.0	1.0
8	44249.0	21456.0	0.847	2663.0	1.0
9	42414.0	21314.0	0.8425	3183.0	1.0
10	41721.0	22003.0	0.851	3178.0	1.0
11	30763.0	20833.0	0.9055	3059.0	1.0
12	39645.0	21701.0	0.868	2747.0	1.0
13	50242.0	22380.0	0.814	3198.0	1.0
14	32541.0	21086.0	0.8935	2921.0	1.0
15	64946.0	21725.0	0.7695	2996.0	1.0
16	32582.0	20898.0	0.902	2907.0	1.0
17	82964.0	22288.0	0.7315	3222.0	1.0
18	28227.0	20207.0	0.9205	2947.0	1.0
19	30136.0	21013.0	0.912	2900.0	1.0
20	33685.0	21175.0	0.8935	2777.0	1.0
21	34734.0	20692.0	0.889	2978.0	1.0
22	40019.0	21992.0	0.8695	2850.0	1.0
23	61029.0	22685.0	0.7855	3064.0	1.0
24	42651.0	22070.0	0.849	2988.0	1.0
25	36751.0	20757.0	0.8605	3125.0	1.0
26	38213.0	21387.0	0.8655	3023.0	1.0
27	38738.0	23159.0	0.879	3293.0	1.0
28	34332.0	21484.0	0.891	3199.0	1.0
29	42419.0	21645.0	0.857	2870.0	1.0
30	39541.0	21251.0	0.8585	3113.0	1.0
31	51327.0	22376.0	0.82	3120.0	1.0
32	37011.0	22125.0	0.8785	3134.0	1.0
33	47080.0	21905.0	0.828	3083.0	1.0
34	33480.0	21906.0	0.895	3436.0	1.0
35	73728.0	22226.0	0.7585	2871.0	1.0
36	63797.0	21875.0	0.771	3206.0	1.0
37	34347.0	21048.0	0.8885	2762.0	1.0
38	40454.0	22328.0	0.866	2871.0	1.0
39	35722.0	21498.0	0.8865	2990.0	1.0
40	35525.0	21274.0	0.875	3193.0	1.0
41	34450.0	21210.0	0.8855	3009.0	1.0
42	50780.0	21221.0	0.8115	2725.0	1.0
43	49290.0	21889.0	0.832	2736.0	1.0
44	30890.0	21307.0	0.9175	2946.0	1.0
45	32314.0	20559.0	0.898	2911.0	1.0
46	47210.0	22057.0	0.8275	2941.0	1.0
47	34281.0	21509.0	0.887	3026.0	1.0
48	45284.0	23300.0	0.851	3090.0	1.0
49	64731.0	23456.0	0.773	3298.0	1.0
50	37885.0	21782.0	0.8685	2967.0	1.0
51	47232.0	22909.0	0.83	3251.0	1.0
52	38978.0	21291.0	0.868	2797.0	1.0
53	35892.0	21206.0	0.8775	2969.0	1.0
54	43438.0	21355.0	0.8415	2948.0	1.0
55	34767.0	20973.0	0.893	2747.0	1.0
56	34172.0	21497.0	0.8855	3041.0	1.0
57	53039.0	22373.0	0.809	2928.0	1.0
58	38765.0	21482.0	0.87	3136.0	1.0
59	53143.0	21846.0	0.8055	3068.0	1.0
60	53718.0	23332.0	0.817	2934.0	1.0
61	59325.0	23214.0	0.7975	2798.0	1.0
62	36982.0	20590.0	0.874	2907.0	1.0
63	36588.0	21681.0	0.8765	3322.0	1.0
64	37843.0	21908.0	0.8765	2731.0	1.0
65	44051.0	22441.0	0.8505	3055.0	1.0
66	44847.0	21622.0	0.8415	2567.0	1.0
67	30783.0	20966.0	0.912	2832.0	1.0
68	37936.0	21443.0	0.862	2946.0	1.0
69	32930.0	22057.0	0.901	3080.0	1.0
70	75905.0	22930.0	0.7525	2964.0	1.0
71	47995.0	22903.0	0.8415	2852.0	1.0
72	44274.0	22809.0	0.8525	3042.0	1.0
73	28545.0	19977.0	0.9165	2797.0	1.0
74	33659.0	21149.0	0.886	2916.0	1.0
75	40458.0	21336.0	0.8555	2774.0	1.0
76	63511.0	23275.0	0.7825	3022.0	1.0
77	74652.0	22256.0	0.7505	3022.0	1.0
78	35102.0	21970.0	0.8895	2879.0	1.0
79	36076.0	21703.0	0.8755	3234.0	1.0
80	33820.0	20316.0	0.887	2820.0	1.0
81	53686.0	22859.0	0.819	2801.0	1.0
82	63102.0	23402.0	0.7905	3023.0	1.0
83	35919.0	22074.0	0.887	2955.0	1.0
84	32613.0	21222.0	0.8975	3172.0	1.0
85	38929.0	21076.0	0.86	3299.0	1.0
86	71217.0	22636.0	0.7725	2929.0	1.0
87	40722.0	21508.0	0.859	2769.0	1.0
88	42255.0	22727.0	0.8565	3056.0	1.0
89	52308.0	21443.0	0.81	2724.0	1.0
90	44263.0	22193.0	0.836	3081.0	1.0
91	36282.0	21790.0	0.882	2945.0	1.0
92	47383.0	21956.0	0.83	2766.0	1.0
93	41046.0	21881.0	0.8585	3060.0	1.0
94	41689.0	21363.0	0.8435	2994.0	1.0
95	31574.0	21133.0	0.908	2912.0	1.0
96	28985.0	20479.0	0.92	3018.0	1.0
97	36917.0	22104.0	0.8885	2954.0	1.0
98	35662.0	20929.0	0.876	2888.0	1.0
99	52423.0	21386.0	0.808	2883.0	1.0
100	53902.0	23216.0	0.815	3080.0	1.0
101	42762.0	22150.0	0.85	3105.0	1.0
102	30420.0	20614.0	0.9025	3155.0	1.0
103	62781.0	22770.0	0.783	3166.0	1.0
104	39488.0	21569.0	0.8545	2936.0	1.0
105	30751.0	21246.0	0.92	3103.0	1.0
106	32120.0	20593.0	0.8995	2878.0	1.0
107	29634.0	20916.0	0.9125	3212.0	1.0
108	36798.0	21863.0	0.875	3312.0	1.0
109	52505.0	23101.0	0.815	3255.0	1.0
110	32753.0	21543.0	0.897	2982.0	1.0
111	32467.0	21338.0	0.8995	2961.0	1.0
112	30773.0	20807.0	0.9075	3181.0	1.0
113	31448.0	20722.0	0.898	3028.0	1.0
114	42561.0	21979.0	0.8505	2985.0	1.0
