Runs	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
0	29030.0	20557.0	0.9215	2787.0	1.0
1	29059.0	20682.0	0.923	3196.0	1.0
2	30080.0	21624.0	0.923	3151.0	1.0
3	28450.0	20488.0	0.924	2957.0	1.0
4	30737.0	21350.0	0.916	3073.0	1.0
5	28629.0	20887.0	0.9235	3187.0	1.0
6	31241.0	21272.0	0.8995	3447.0	1.0
7	31096.0	21642.0	0.917	3053.0	1.0
8	27525.0	19898.0	0.9295	2711.0	1.0
9	27181.0	20809.0	0.9305	2974.0	1.0
