Runs 	Weibull Discovery Time 	Discovery Time 	Fraction Discovery 	Information Time 	Fraction Information
1    	41841.0                	22078.0        	0.864              	2754.0           	1.0
2    	31563.0                	20706.0        	0.8945             	3108.0           	1.0
3    	76996.0                	22948.0        	0.7295             	3178.0           	1.0
4    	54943.0                	22548.0        	0.8                	3104.0           	1.0
5    	30457.0                	21773.0        	0.925              	3190.0           	1.0
6    	44562.0                	23989.0        	0.8585             	3406.0           	1.0
7    	54805.0                	22582.0        	0.8105             	3024.0           	1.0
8    	34332.0                	21532.0        	0.89               	2890.0           	1.0
9    	39603.0                	21281.0        	0.867              	2652.0           	1.0
10   	29050.0                	19532.0        	0.896              	3242.0           	1.0
