Runs	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
1	32702.0	20469.0	0.8895	2898.0	1.0
2	47412.0	22601.0	0.8415	2883.0	1.0
3	35472.0	21582.0	0.886	2871.0	1.0
4	45161.0	22930.0	0.8475	2784.0	1.0
5	34469.0	21213.0	0.8815	3132.0	1.0
6	44968.0	22133.0	0.8415	3028.0	1.0
7	47008.0	22861.0	0.835	3288.0	1.0
8	62403.0	23280.0	0.781	3196.0	1.0
9	28992.0	20149.0	0.915	2801.0	1.0
10	47957.0	21460.0	0.8285	2810.0	1.0
11	39966.0	20821.0	0.8515	2794.0	1.0
12	30100.0	20432.0	0.913	2705.0	1.0
13	45438.0	21151.0	0.827	2954.0	1.0
14	34585.0	20890.0	0.8825	2826.0	1.0
15	43607.0	22255.0	0.85	2952.0	1.0
16	32280.0	20995.0	0.894	3134.0	1.0
17	35486.0	21355.0	0.8815	2916.0	1.0
18	31751.0	20439.0	0.8955	2919.0	1.0
19	55908.0	22552.0	0.7975	2878.0	1.0
20	33263.0	21113.0	0.893	2880.0	1.0
21	32690.0	20783.0	0.8995	2987.0	1.0
22	46821.0	21937.0	0.8305	2950.0	1.0
23	43713.0	22315.0	0.848	3058.0	1.0
24	41761.0	23210.0	0.8655	2912.0	1.0
25	36306.0	21242.0	0.8755	2929.0	1.0
26	50312.0	23017.0	0.831	3020.0	1.0
27	40540.0	21614.0	0.8635	2831.0	1.0
28	38783.0	21725.0	0.872	2767.0	1.0
29	68121.0	23542.0	0.766	3292.0	1.0
30	39207.0	22029.0	0.856	3464.0	1.0
31	80289.0	23880.0	0.746	3110.0	1.0
32	65431.0	23952.0	0.784	2828.0	1.0
33	60228.0	22694.0	0.786	2975.0	1.0
34	41565.0	21804.0	0.848	3087.0	1.0
35	40977.0	21852.0	0.858	2864.0	1.0
36	40098.0	21843.0	0.865	3008.0	1.0
37	44536.0	21563.0	0.8485	2656.0	1.0
38	38971.0	21279.0	0.862	3112.0	1.0
39	33752.0	20531.0	0.8815	3166.0	1.0
40	56968.0	23128.0	0.806	2935.0	1.0
