Runs 	Weibull Discovery Time 	Discovery Time 	Fraction Discovery 	Information Time 	Fraction Information
1    	29503.0                	20883.0        	0.9155             	2998.0           	1.0
2    	32727.0                	21472.0        	0.899              	3045.0           	1.0
3    	30534.0                	21096.0        	0.909              	3112.0           	1.0
4    	29371.0                	20247.0        	0.9085             	2994.0           	1.0
5    	29910.0                	20816.0        	0.9175             	2961.0           	1.0
6    	30869.0                	20853.0        	0.9065             	3072.0           	1.0
7    	32703.0                	21650.0        	0.898              	3168.0           	1.0
8    	29823.0                	20613.0        	0.9165             	2820.0           	1.0
9    	27881.0                	19733.0        	0.9145             	2843.0           	1.0
10   	29521.0                	20995.0        	0.9225             	2884.0           	1.0
