Runs	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
178	80090.0	23259.0	0.7525	3062.0	1.0
179	60634.0	22664.0	0.7855	2975.0	1.0
180	64730.0	22909.0	0.7785	3173.0	1.0
181	66401.0	23112.0	0.776	3026.0	1.0
182	70261.0	23667.0	0.7715	2974.0	1.0
183	59400.0	23377.0	0.806	2715.0	1.0
184	66342.0	23536.0	0.788	2811.0	1.0
185	54529.0	22527.0	0.8025	3017.0	1.0
186	67297.0	22855.0	0.763	3184.0	1.0
187	67013.0	23199.0	0.772	2995.0	1.0
188	69683.0	23380.0	0.772	2686.0	1.0
189	67664.0	22082.0	0.767	2714.0	1.0
190	59471.0	23832.0	0.8015	3349.0	1.0
191	71683.0	23106.0	0.768	2943.0	1.0
192	58454.0	22928.0	0.797	2824.0	1.0
193	72350.0	24033.0	0.773	2996.0	1.0
194	62513.0	22177.0	0.7875	2810.0	1.0
195	67055.0	22817.0	0.778	3042.0	1.0
196	51341.0	23984.0	0.8395	2928.0	1.0
197	64425.0	23816.0	0.79	3258.0	1.0
198	62361.0	22561.0	0.785	2834.0	1.0
199	53421.0	22735.0	0.82	2807.0	1.0
200	67862.0	24215.0	0.7815	2947.0	1.0
201	60628.0	22064.0	0.7855	2815.0	1.0
202	81829.0	23300.0	0.755	2781.0	1.0
203	71584.0	23340.0	0.7715	2975.0	1.0
204	58972.0	22439.0	0.803	3083.0	1.0
205	73777.0	23024.0	0.759	3177.0	1.0
206	63386.0	23474.0	0.7865	2904.0	1.0
207	59366.0	23207.0	0.8025	3039.0	1.0
208	72270.0	23317.0	0.7625	3146.0	1.0
209	58858.0	22312.0	0.8005	2839.0	1.0
210	49422.0	22713.0	0.826	2946.0	1.0
211	70367.0	23447.0	0.7735	2987.0	1.0
212	58330.0	21532.0	0.788	2908.0	1.0
213	66761.0	23079.0	0.778	3003.0	1.0
214	55383.0	22644.0	0.8115	2804.0	1.0
215	63755.0	23039.0	0.796	2710.0	1.0
216	51387.0	22328.0	0.8065	3069.0	1.0
217	65335.0	23060.0	0.7805	2862.0	1.0
218	73159.0	23475.0	0.766	2878.0	1.0
219	68456.0	22929.0	0.7675	3055.0	1.0
220	66993.0	23609.0	0.7695	3447.0	1.0
221	71719.0	23966.0	0.772	3033.0	1.0
222	53139.0	21916.0	0.8205	2599.0	1.0
223	70002.0	23054.0	0.7745	2743.0	1.0
224	62517.0	22987.0	0.7905	2736.0	1.0
225	76907.0	22270.0	0.76	3040.0	1.0
226	53456.0	22457.0	0.812	2869.0	1.0
227	65619.0	23747.0	0.785	2881.0	1.0
228	52028.0	22964.0	0.8195	3004.0	1.0
229	70569.0	24594.0	0.778	2784.0	1.0
230	63835.0	23854.0	0.779	3069.0	1.0
231	65386.0	23331.0	0.7795	3184.0	1.0
232	60687.0	21303.0	0.793	2579.0	1.0
233	57482.0	24399.0	0.812	3193.0	1.0
234	58321.0	23029.0	0.801	2873.0	1.0
235	68877.0	23890.0	0.7765	3031.0	1.0
236	55785.0	21985.0	0.802	2717.0	1.0
237	72826.0	23986.0	0.764	3062.0	1.0
238	62779.0	22402.0	0.779	3096.0	1.0
239	75488.0	22833.0	0.748	3331.0	1.0
240	68380.0	22575.0	0.766	2890.0	1.0
241	74667.0	22750.0	0.756	3098.0	1.0
242	64378.0	25541.0	0.7915	3065.0	1.0
243	55577.0	22817.0	0.8115	2784.0	1.0
244	66072.0	23240.0	0.772	2958.0	1.0
245	54766.0	22130.0	0.8065	2798.0	1.0
246	65211.0	23693.0	0.778	3199.0	1.0
247	63237.0	20941.0	0.774	3021.0	1.0
248	73466.0	22333.0	0.7565	2977.0	1.0
249	63403.0	23380.0	0.797	3146.0	1.0
250	60598.0	23054.0	0.788	2989.0	1.0
251	65719.0	22474.0	0.7805	2698.0	1.0
252	68907.0	24328.0	0.7875	2825.0	1.0
253	65387.0	23916.0	0.7915	3177.0	1.0
254	59265.0	23245.0	0.795	3051.0	1.0
255	59537.0	22997.0	0.7955	2711.0	1.0
256	72670.0	22356.0	0.7605	2900.0	1.0
257	66752.0	24550.0	0.78	3083.0	1.0
258	72314.0	24364.0	0.768	3083.0	1.0
259	67664.0	24164.0	0.777	3140.0	1.0
260	74910.0	23504.0	0.7665	2960.0	1.0
261	64592.0	22956.0	0.78	2845.0	1.0
262	63935.0	22055.0	0.782	2892.0	1.0
263	58456.0	22537.0	0.7975	2753.0	1.0
264	59727.0	23890.0	0.8085	2733.0	1.0
265	64186.0	23716.0	0.792	2798.0	1.0
266	60309.0	22160.0	0.788	2844.0	1.0
267	61361.0	24043.0	0.7985	2828.0	1.0
268	53142.0	22728.0	0.8115	3162.0	1.0
269	59528.0	21371.0	0.792	2885.0	1.0
270	72290.0	23033.0	0.7525	3244.0	1.0
271	53640.0	22750.0	0.8185	2818.0	1.0
272	57209.0	22121.0	0.79	2911.0	1.0
273	61284.0	22887.0	0.7885	3024.0	1.0
274	68705.0	22694.0	0.7655	3078.0	1.0
275	54860.0	22549.0	0.8035	2882.0	1.0
276	75692.0	23553.0	0.7545	3427.0	1.0
277	58515.0	22784.0	0.7985	2940.0	1.0
278	82749.0	23061.0	0.736	2784.0	1.0
279	61449.0	22681.0	0.791	3027.0	1.0
280	67657.0	22745.0	0.7525	3469.0	1.0
281	62981.0	23546.0	0.7845	2927.0	1.0
282	53239.0	23024.0	0.8175	2841.0	1.0
283	63229.0	22094.0	0.7775	2797.0	1.0
284	60492.0	22129.0	0.787	2700.0	1.0
285	62160.0	23033.0	0.7865	2903.0	1.0
286	71605.0	23080.0	0.766	2996.0	1.0
287	66532.0	23476.0	0.7665	3176.0	1.0
288	56853.0	22434.0	0.7925	2967.0	1.0
289	66512.0	23415.0	0.78	2958.0	1.0
290	64783.0	23597.0	0.7865	2969.0	1.0
291	62223.0	23654.0	0.7975	3007.0	1.0
292	72358.0	23110.0	0.76	2965.0	1.0
293	77976.0	24391.0	0.7525	3207.0	1.0
294	69849.0	23877.0	0.7805	2919.0	1.0
295	73082.0	22595.0	0.757	2969.0	1.0
296	58149.0	22297.0	0.783	2928.0	1.0
297	60618.0	22730.0	0.795	2940.0	1.0
298	65540.0	22574.0	0.7715	3146.0	1.0
299	72244.0	23718.0	0.7605	3402.0	1.0
300	62994.0	22623.0	0.7805	2792.0	1.0
301	56806.0	22747.0	0.7945	3176.0	1.0
