Runs	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
1	36405.0	21718.0	0.882	2831.0	1.0
2	39420.0	22103.0	0.8635	2908.0	1.0
3	46560.0	22271.0	0.841	2904.0	1.0
4	45356.0	20411.0	0.8205	2928.0	1.0
5	44302.0	22874.0	0.8475	3010.0	1.0
6	33239.0	20506.0	0.894	2889.0	1.0
7	32624.0	21060.0	0.893	3050.0	1.0
8	48233.0	22782.0	0.8465	2883.0	1.0
9	42840.0	21743.0	0.8465	3272.0	1.0
10	34600.0	21281.0	0.884	2936.0	1.0
