Runs	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
1	29309.0	19761.0	0.898	3367.0	1.0
2	36284.0	21067.0	0.8695	2926.0	1.0
3	44646.0	21491.0	0.8365	3116.0	1.0
4	54442.0	23327.0	0.818	3184.0	1.0
5	77224.0	22921.0	0.7375	3505.0	1.0
6	32331.0	21000.0	0.8995	2992.0	1.0
7	42317.0	21842.0	0.848	3377.0	1.0
8	31929.0	20887.0	0.8925	3235.0	1.0
9	36999.0	21462.0	0.8705	3119.0	1.0
10	37187.0	21708.0	0.8725	2848.0	1.0
11	28945.0	19594.0	0.9135	2632.0	1.0
12	31409.0	19797.0	0.895	2833.0	1.0
13	32831.0	20891.0	0.888	3240.0	1.0
14	29222.0	20564.0	0.914	2900.0	1.0
15	75548.0	22980.0	0.759	3087.0	1.0
16	40285.0	20772.0	0.844	2976.0	1.0
17	84026.0	23739.0	0.7385	3042.0	1.0
18	39108.0	21322.0	0.859	2747.0	1.0
19	39083.0	23032.0	0.8725	3348.0	1.0
20	61928.0	19595.0	0.759	2873.0	1.0
21	33865.0	22280.0	0.903	3253.0	1.0
22	39136.0	20943.0	0.86	2941.0	1.0
23	37055.0	20289.0	0.8525	2977.0	1.0
24	29212.0	20355.0	0.9115	2940.0	1.0
25	57048.0	20432.0	0.7675	2959.0	1.0
26	38006.0	20861.0	0.8585	3107.0	1.0
27	32931.0	21848.0	0.908	3154.0	1.0
28	60681.0	24386.0	0.7955	3017.0	1.0
29	35745.0	21324.0	0.877	2719.0	1.0
30	36738.0	22545.0	0.8805	3117.0	1.0
31	38736.0	21083.0	0.859	3095.0	1.0
32	31214.0	20643.0	0.9075	3056.0	1.0
33	37035.0	20143.0	0.8565	3221.0	1.0
34	26844.0	19320.0	0.9235	2941.0	1.0
35	33058.0	20632.0	0.8875	3176.0	1.0
36	31323.0	20758.0	0.9045	3077.0	1.0
37	38781.0	21758.0	0.8565	3305.0	1.0
38	51500.0	23340.0	0.821	3296.0	1.0
39	59134.0	21905.0	0.804	2698.0	1.0
40	31158.0	21449.0	0.917	3101.0	1.0
41	57733.0	22474.0	0.799	2776.0	1.0
42	31159.0	21318.0	0.913	3198.0	1.0
43	32707.0	21172.0	0.896	2934.0	1.0
44	59027.0	23865.0	0.8005	3140.0	1.0
45	41738.0	21520.0	0.8465	3424.0	1.0
46	27782.0	19514.0	0.9135	3173.0	1.0
47	40916.0	23063.0	0.8695	2965.0	1.0
48	32286.0	20297.0	0.9	2854.0	1.0
49	32085.0	20192.0	0.8905	2725.0	1.0
50	33061.0	22938.0	0.911	3114.0	1.0
51	49047.0	20859.0	0.812	2993.0	1.0
52	33804.0	21497.0	0.896	2975.0	1.0
53	33803.0	20724.0	0.886	3047.0	1.0
54	32300.0	20998.0	0.9055	2886.0	1.0
55	40951.0	20958.0	0.8385	2931.0	1.0
56	30570.0	20580.0	0.909	2821.0	1.0
57	62731.0	24159.0	0.7875	3153.0	1.0
58	32384.0	21107.0	0.9	2967.0	1.0
59	69600.0	24594.0	0.7565	4184.0	1.0
60	54102.0	22928.0	0.814	3163.0	1.0
61	29885.0	20058.0	0.905	2858.0	1.0
62	36888.0	20932.0	0.8655	3058.0	1.0
