Runs 	Weibull Discovery Time 	Discovery Time 	Fraction Discovery 	Information Time 	Fraction Information
1    	31306.0                	21227.0        	0.909              	3103.0           	1.0
2    	99293.0                	26247.0        	0.6195             	5262.0           	1.0
3    	53419.0                	22622.0        	0.802              	3252.0           	1.0
4    	31241.0                	21044.0        	0.909              	3116.0           	1.0
5    	34955.0                	22245.0        	0.889              	2949.0           	1.0
6    	41400.0                	20744.0        	0.837              	3250.0           	1.0
7    	35189.0                	21714.0        	0.882              	3401.0           	1.0
8    	88311.0                	18217.0        	0.407              	5190.0           	0.979
9    	32316.0                	19655.0        	0.877              	3125.0           	1.0
10   	35210.0                	21906.0        	0.8865             	3152.0           	1.0
