Runs 	Weibull Discovery Time 	Discovery Time 	Fraction Discovery 	Information Time 	Fraction Information
0    	64806.0                	21459.0        	0.768              	2987.0           	1.0
1    	55691.0                	22382.0        	0.793              	2958.0           	1.0
2    	66180.0                	23999.0        	0.777              	3284.0           	1.0
3    	56467.0                	22140.0        	0.795              	2765.0           	1.0
4    	67289.0                	22149.0        	0.763              	2957.0           	1.0
5    	63920.0                	23002.0        	0.7715             	3130.0           	1.0
6    	74316.0                	23523.0        	0.748              	3361.0           	1.0
7    	57881.0                	21850.0        	0.7805             	2947.0           	1.0
8    	56474.0                	22207.0        	0.8045             	2783.0           	1.0
9    	60365.0                	23104.0        	0.786              	3019.0           	1.0
