Runs 	Weibull Discovery Time 	Discovery Time 	Fraction Discovery 	Information Time 	Fraction Information
0    	29682.0                	21704.0        	0.9255             	3343.0           	1.0
1    	33419.0                	22055.0        	0.9                	3137.0           	1.0
2    	33692.0                	22508.0        	0.9075             	3380.0           	1.0
3    	30017.0                	22175.0        	0.9245             	3499.0           	1.0
4    	29294.0                	21646.0        	0.9325             	3182.0           	1.0
5    	31065.0                	21971.0        	0.9215             	3133.0           	1.0
6    	35708.0                	23034.0        	0.899              	3282.0           	1.0
7    	31009.0                	22498.0        	0.9235             	3216.0           	1.0
8    	29380.0                	21497.0        	0.932              	3018.0           	1.0
9    	31205.0                	21060.0        	0.905              	3134.0           	1.0
