Id	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
0	9231.0	4420.0	0.858	1879.0	1.0
1	9106.0	3909.0	0.832	1725.0	0.998
2	8167.0	4217.0	0.862	1773.0	1.0
3	11271.0	4427.0	0.814	2159.0	1.0
4	12365.0	3938.0	0.798	1543.0	0.99
5	9376.0	4571.0	0.852	1834.0	0.998
6	9317.0	4179.0	0.824	2024.0	0.998
7	7748.0	3719.0	0.81	1919.0	1.0
8	8724.0	3742.0	0.826	1655.0	0.982
9	9355.0	4329.0	0.85	1730.0	1.0
10	8889.0	4281.0	0.848	1859.0	1.0
11	8256.0	4618.0	0.876	1859.0	1.0
12	9057.0	4349.0	0.836	1797.0	0.99
13	8348.0	4288.0	0.858	1840.0	0.99
14	8949.0	3820.0	0.838	1642.0	1.0
15	8431.0	4242.0	0.85	1698.0	1.0
16	8809.0	4282.0	0.862	1693.0	0.998
17	8170.0	4349.0	0.848	1945.0	1.0
18	8731.0	4198.0	0.838	1886.0	1.0
19	9033.0	3985.0	0.816	1988.0	0.996
20	9520.0	4495.0	0.844	2051.0	0.996
21	10433.0	4795.0	0.832	2373.0	0.998
22	9370.0	3601.0	0.804	1870.0	0.998
23	12315.0	3783.0	0.776	1769.0	0.99
24	10495.0	4258.0	0.834	1614.0	0.99
25	9328.0	4208.0	0.85	1838.0	1.0
26	9812.0	4157.0	0.81	2215.0	0.998
27	9235.0	4238.0	0.836	2090.0	0.99
28	9337.0	4510.0	0.842	2154.0	0.994
29	8978.0	4221.0	0.846	1627.0	1.0
30	10619.0	4544.0	0.82	2147.0	0.998
31	9441.0	4707.0	0.856	1788.0	1.0
32	8689.0	4117.0	0.854	1585.0	1.0
33	9689.0	3952.0	0.822	1751.0	0.996
34	8302.0	4344.0	0.846	2072.0	0.992
35	9522.0	4410.0	0.842	1936.0	1.0
36	8335.0	4002.0	0.848	1780.0	0.988
37	8609.0	4234.0	0.856	1706.0	0.996
38	9795.0	4999.0	0.854	2260.0	1.0
39	10133.0	3953.0	0.818	1601.0	1.0
40	8797.0	4191.0	0.814	2326.0	1.0
41	9350.0	4167.0	0.836	1896.0	1.0
42	9194.0	4423.0	0.842	1777.0	1.0
43	8338.0	4032.0	0.832	1867.0	0.996
44	9133.0	4204.0	0.838	1878.0	0.984
45	9279.0	3979.0	0.826	1882.0	0.994
46	7607.0	4343.0	0.87	1841.0	0.99
47	9674.0	3684.0	0.808	1578.0	0.99
48	8964.0	5145.0	0.878	2145.0	1.0
49	8647.0	3680.0	0.818	1675.0	1.0
50	7349.0	3997.0	0.856	1947.0	1.0
51	11184.0	3948.0	0.792	1929.0	0.99
52	8539.0	4059.0	0.844	1748.0	0.998
53	9032.0	4095.0	0.84	1741.0	1.0
54	10249.0	4478.0	0.832	2034.0	1.0
55	10538.0	4397.0	0.83	1961.0	0.998
56	9881.0	4581.0	0.842	1870.0	1.0
57	9724.0	4337.0	0.834	1894.0	0.99
58	8387.0	4000.0	0.85	1570.0	1.0
59	8190.0	4118.0	0.854	1721.0	1.0
60	9423.0	3953.0	0.83	1932.0	0.998
61	10103.0	4745.0	0.854	2013.0	1.0
62	10954.0	4825.0	0.852	2042.0	1.0
63	9806.0	4628.0	0.834	2235.0	1.0
64	8051.0	4129.0	0.826	2141.0	0.992
65	6558.0	3825.0	0.878	1811.0	1.0
66	10836.0	4412.0	0.822	1975.0	0.998
67	11006.0	4207.0	0.8	2004.0	1.0
68	7847.0	4035.0	0.864	1859.0	1.0
69	10197.0	4187.0	0.82	1825.0	1.0
70	8954.0	4637.0	0.846	1808.0	1.0
71	9346.0	4119.0	0.82	2054.0	0.99
72	9514.0	4070.0	0.81	1817.0	0.992
73	9318.0	4661.0	0.866	1762.0	1.0
74	9105.0	4350.0	0.852	1942.0	0.996
75	11474.0	4132.0	0.8	1818.0	0.994
76	8430.0	4092.0	0.846	1804.0	0.996
77	8806.0	3763.0	0.81	1818.0	1.0
78	7940.0	4236.0	0.86	1791.0	1.0
79	8726.0	3988.0	0.832	1812.0	1.0
80	8969.0	4199.0	0.832	1942.0	1.0
81	7952.0	4194.0	0.864	1775.0	1.0
82	7578.0	4324.0	0.872	2098.0	1.0
83	9333.0	4351.0	0.842	1807.0	1.0
84	9024.0	3852.0	0.826	1536.0	1.0
85	10108.0	4094.0	0.828	1861.0	0.998
86	9826.0	4254.0	0.83	1757.0	1.0
87	10178.0	4186.0	0.82	1856.0	1.0
88	8196.0	3920.0	0.838	1774.0	1.0
89	9197.0	4056.0	0.838	1551.0	1.0
90	8357.0	4083.0	0.844	1852.0	1.0
91	8651.0	4001.0	0.83	1682.0	1.0
92	11792.0	4068.0	0.796	1955.0	0.998
93	9510.0	4100.0	0.832	1851.0	0.992
94	7476.0	3837.0	0.848	1784.0	0.998
95	9983.0	4482.0	0.832	1815.0	0.99
96	7109.0	3759.0	0.852	1606.0	1.0
97	8945.0	4552.0	0.862	1975.0	1.0
98	7670.0	3887.0	0.858	1659.0	1.0
99	9676.0	4247.0	0.824	1788.0	0.992
0	164958.0	3365.0	0.372	2760.0	0.628
1	206821.0	1040.0	0.214	965.0	0.378
2	213013.0	4407.0	0.384	3349.0	0.656
3	66555.0	473.0	0.256	372.0	0.418
4	10013.0	233.0	0.236	204.0	0.38
5	230990.0	4080.0	0.366	3387.0	0.664
6	200739.0	736.0	0.21	696.0	0.36
7	256796.0	1606.0	0.284	1298.0	0.466
8	23762.0	311.0	0.252	353.0	0.404
9	147509.0	6614.0	0.37	4907.0	0.626
10	147551.0	3749.0	0.298	3581.0	0.616
11	375318.0	3511.0	0.418	3003.0	0.728
12	232728.0	5815.0	0.456	4983.0	0.796
13	164040.0	2948.0	0.288	1732.0	0.498
14	119531.0	3889.0	0.258	2211.0	0.464
15	102638.0	7983.0	0.374	4932.0	0.596
16	95981.0	6340.0	0.328	4022.0	0.536
17	97437.0	4634.0	0.274	2854.0	0.494
18	275546.0	316.0	0.206	224.0	0.328
19	269817.0	511.0	0.216	254.0	0.354
20	308520.0	421.0	0.24	898.0	0.42
21	260974.0	4508.0	0.394	5520.0	0.762
22	248383.0	340.0	0.21	238.0	0.322
23	11686.0	309.0	0.264	196.0	0.366
24	152227.0	3043.0	0.308	2069.0	0.506
25	213813.0	2282.0	0.302	2255.0	0.518
26	188888.0	3684.0	0.302	2324.0	0.478
27	25743.0	266.0	0.226	210.0	0.378
28	168469.0	1598.0	0.238	1721.0	0.434
29	192918.0	4515.0	0.36	2866.0	0.61
30	7316.0	220.0	0.242	176.0	0.39
31	106488.0	6535.0	0.334	5855.0	0.654
32	83598.0	8820.0	0.334	6312.0	0.624
33	176323.0	5409.0	0.344	2944.0	0.54
34	271170.0	605.0	0.244	460.0	0.374
35	242920.0	1762.0	0.278	2282.0	0.484
36	207626.0	833.0	0.208	699.0	0.372
37	221103.0	996.0	0.24	865.0	0.41
38	189595.0	4937.0	0.304	3785.0	0.52
39	165503.0	2257.0	0.256	2326.0	0.446
40	225385.0	1411.0	0.26	1579.0	0.484
41	238555.0	1006.0	0.226	944.0	0.384
42	180788.0	8644.0	0.464	6559.0	0.81
43	196750.0	4603.0	0.3	3098.0	0.494
44	200772.0	2309.0	0.296	1736.0	0.494
45	92545.0	340.0	0.226	273.0	0.37
46	24375.0	5310.0	0.31	1725.0	0.46
47	66904.0	307.0	0.236	173.0	0.34
48	146658.0	5462.0	0.37	5193.0	0.626
49	253815.0	518.0	0.208	659.0	0.394
50	183635.0	3563.0	0.316	2259.0	0.538
51	234684.0	403.0	0.204	234.0	0.346
52	187571.0	1310.0	0.214	999.0	0.368
53	215529.0	3796.0	0.356	3420.0	0.638
54	193874.0	2899.0	0.292	2365.0	0.526
55	85538.0	279.0	0.214	286.0	0.406
56	110555.0	5143.0	0.324	4574.0	0.596
57	273937.0	597.0	0.218	421.0	0.376
58	107339.0	6036.0	0.316	3736.0	0.558
59	178034.0	2812.0	0.274	3108.0	0.524
