33,0,2.25,-3.70,2.00,-11.34,0.13,100
59,0,8.37,2.56,4.21,-10.01,0.13,100
83,0,9.99,7.82,8.23,1.56,0.14,100
109,0,15.02,11.47,12.95,5.59,0.14,100
134,0,20.21,15.40,20.21,10.18,0.14,100
158,0,24.04,22.46,24.04,17.13,0.14,100
178,0,27.82,22.75,25.76,17.96,0.15,100
198,0,30.13,27.11,29.75,23.08,0.15,100
217,0,33.65,28.95,29.26,16.53,0.15,100
235,0,33.65,28.95,31.45,21.34,0.15,100
255,0,33.65,28.95,29.96,20.63,0.15,100
274,0,33.65,28.95,28.45,14.93,0.15,100
294,0,33.65,28.95,29.27,18.08,0.15,100
313,0,33.65,28.95,30.85,15.74,0.16,100
332,0,33.65,28.95,29.60,19.23,0.16,100
351,0,34.08,28.95,33.31,21.11,0.16,100
371,0,36.08,32.56,33.15,23.03,0.16,100
390,0,37.89,32.56,36.38,23.79,0.16,100
410,1,37.89,32.56,33.66,21.66,0.16,100
430,1,37.89,32.56,36.52,24.32,0.16,100
448,1,37.89,32.56,35.54,24.13,0.16,100
467,1,40.62,32.62,33.26,21.16,0.16,100
485,1,40.62,32.62,36.07,23.09,0.16,100
505,1,40.62,32.62,36.40,24.11,0.16,100
523,1,44.02,32.89,38.42,25.90,0.16,100
541,1,46.93,32.89,41.81,26.58,0.16,100
557,1,51.22,36.02,49.73,33.09,0.16,100
572,1,55.78,42.19,53.53,32.07,0.16,100
587,1,56.02,44.40,54.98,36.02,0.16,100
602,1,56.02,47.25,52.12,34.97,0.16,100
618,1,58.77,47.25,54.10,33.42,0.16,100
632,1,62.83,52.37,56.08,36.88,0.16,100
647,1,64.61,54.56,57.87,38.21,0.16,100
661,1,66.33,54.56,59.21,37.18,0.16,100
674,1,66.33,54.56,61.76,35.63,0.16,100
688,1,66.33,54.56,62.59,39.85,0.16,100
702,1,66.33,54.67,59.69,37.91,0.16,100
716,2,66.33,54.67,57.34,37.21,0.16,100
730,2,66.33,55.74,64.16,48.82,0.16,100
744,2,66.33,55.74,60.17,43.10,0.17,100
757,2,66.33,56.47,58.50,41.16,0.17,100
770,2,66.33,56.47,57.45,44.99,0.17,100
783,2,66.33,58.04,56.30,39.88,0.17,100
796,2,68.52,58.04,60.41,35.53,0.17,100
809,2,68.52,58.04,65.02,43.20,0.17,100
822,2,68.64,59.96,59.48,40.40,0.17,100
834,2,68.64,59.96,59.92,36.86,0.17,100
845,2,68.64,59.96,58.83,37.71,0.17,100
856,2,68.64,59.96,58.89,41.96,0.17,100
867,2,68.64,59.96,57.85,39.71,0.17,100
878,2,68.64,59.96,56.71,45.16,0.17,100
889,2,69.02,59.96,57.60,38.13,0.17,100
900,2,69.02,59.96,62.53,39.64,0.17,100
911,2,69.02,59.96,67.86,38.26,0.17,100
922,2,71.76,61.30,65.95,43.45,0.17,100
932,2,79.12,64.19,74.72,48.16,0.17,100
942,2,82.90,65.42,75.14,40.84,0.17,100
952,2,82.90,65.42,73.40,51.34,0.17,100
962,2,82.90,65.42,70.55,53.60,0.17,100
972,3,82.90,65.42,77.11,40.22,0.17,100
982,3,82.90,65.42,70.49,48.21,0.17,100
992,3,82.90,65.42,77.46,52.34,0.17,100
1002,3,82.90,65.42,73.83,50.15,0.17,100
1012,3,82.90,65.42,74.89,47.82,0.17,100
1022,3,82.90,65.42,82.25,50.73,0.17,100
1031,3,84.18,65.42,76.14,55.97,0.17,100
1041,3,84.18,65.42,71.08,51.88,0.17,100
1050,3,84.18,65.42,71.06,53.01,0.17,100
1060,3,84.18,66.86,74.96,51.31,0.17,100
1069,3,84.18,66.86,77.80,51.69,0.17,100
1078,3,84.18,66.86,75.24,54.59,0.17,100
1087,3,84.51,73.62,79.16,52.55,0.17,100
1096,3,85.01,73.62,77.91,52.12,0.17,100
1105,3,85.01,73.62,75.40,47.50,0.17,100
1114,3,85.01,73.62,75.50,53.42,0.17,100
1123,3,85.01,73.62,69.04,46.31,0.17,100
1133,3,85.01,73.62,72.15,48.52,0.17,100
1143,3,85.01,73.62,75.42,49.26,0.17,100
1153,3,85.01,73.62,71.58,49.57,0.17,100
1162,3,85.01,73.62,74.12,45.74,0.17,100
1172,3,85.01,73.62,66.62,44.76,0.17,100
1181,3,85.01,73.62,71.19,50.94,0.17,100
1190,3,85.01,73.62,83.39,48.17,0.17,100
1200,3,85.01,73.62,67.26,51.24,0.17,100
